country	counterpart	_quantity	_responsible	_webmode	cp_hidden
7	7039	-1	andres_int	1	7039
7	7041	-1	andres_int	1	7041
7	7043	-1	andres_int	1	7043
7	7044	-1	andres_int	1	7044
7	7045	-1	andres_int	1	7045
7	7047	-1	andres_int	1	7047
7	7048	-1	andres_int	1	7048
7	7049	-1	andres_int	1	7049
7	7053	-1	andres_int	1	7053
7	7054	-1	andres_int	1	7054
8	8001	-1	andres_int	1	8001
8	8002	-1	andres_int	1	8002
8	8003	-1	andres_int	1	8003
8	8005	-1	andres_int	1	8005
8	8008	-1	andres_int	1	8008
8	8010	-1	andres_int	1	8010
8	8011	-1	andres_int	1	8011
8	8013	-1	andres_int	1	8013
8	8014	-1	andres_int	1	8014
8	8015	-1	andres_int	1	8015
8	8019	-1	andres_int	1	8019
8	8022	-1	andres_int	1	8022
8	8023	-1	andres_int	1	8023
8	8026	-1	andres_int	1	8026
8	8027	-1	andres_int	1	8027
8	8028	-1	andres_int	1	8028
8	8029	-1	andres_int	1	8029
8	8030	-1	andres_int	1	8030
8	8031	-1	andres_int	1	8031
8	8033	-1	andres_int	1	8033
8	8034	-1	andres_int	1	8034
8	8035	-1	andres_int	1	8035
8	8036	-1	andres_int	1	8036
8	8037	-1	andres_int	1	8037
8	8038	-1	andres_int	1	8038
8	8039	-1	andres_int	1	8039
8	8040	-1	andres_int	1	8040
8	8042	-1	andres_int	1	8042
8	8043	-1	andres_int	1	8043
8	8044	-1	andres_int	1	8044
8	8045	-1	andres_int	1	8045
8	8046	-1	andres_int	1	8046
8	8047	-1	andres_int	1	8047
8	8048	-1	andres_int	1	8048
8	8049	-1	andres_int	1	8049
8	8050	-1	andres_int	1	8050
8	8051	-1	andres_int	1	8051
8	8053	-1	andres_int	1	8053
8	8054	-1	andres_int	1	8054
8	8055	-1	andres_int	1	8055
8	8056	-1	andres_int	1	8056
10	10001	-1	andres_int	1	10001
10	10006	-1	andres_int	1	10006
10	10008	-1	andres_int	1	10008
10	10009	-1	andres_int	1	10009
10	10010	-1	andres_int	1	10010
10	10012	-1	andres_int	1	10012
10	10013	-1	andres_int	1	10013
10	10014	-1	andres_int	1	10014
10	10015	-1	andres_int	1	10015
10	10020	-1	andres_int	1	10020
10	10022	-1	andres_int	1	10022
10	10024	-1	andres_int	1	10024
10	10026	-1	andres_int	1	10026
10	10028	-1	andres_int	1	10028
10	10029	-1	andres_int	1	10029
10	10030	-1	andres_int	1	10030
10	10031	-1	andres_int	1	10031
10	10032	-1	andres_int	1	10032
10	10034	-1	andres_int	1	10034
10	10036	-1	andres_int	1	10036
10	10037	-1	andres_int	1	10037
10	10045	-1	andres_int	1	10045
10	10046	-1	andres_int	1	10046
10	10047	-1	andres_int	1	10047
10	10048	-1	andres_int	1	10048
11	11001	-1	andres_int	1	11001
11	11003	-1	andres_int	1	11003
11	11004	-1	andres_int	1	11004
11	11005	-1	andres_int	1	11005
11	11006	-1	andres_int	1	11006
11	11008	-1	andres_int	1	11008
11	11009	-1	andres_int	1	11009
11	11010	-1	andres_int	1	11010
11	11011	-1	andres_int	1	11011
11	11012	-1	andres_int	1	11012
12	12001	-1	andres_int	1	12001
12	12002	-1	andres_int	1	12002
12	12003	-1	andres_int	1	12003
12	12004	-1	andres_int	1	12004
12	12005	-1	andres_int	1	12005
12	12006	-1	andres_int	1	12006
12	12007	-1	andres_int	1	12007
12	12008	-1	andres_int	1	12008
12	12009	-1	andres_int	1	12009
12	12010	-1	andres_int	1	12010
12	12011	-1	andres_int	1	12011
12	12012	-1	andres_int	1	12012
12	12013	-1	andres_int	1	12013
12	12014	-1	andres_int	1	12014
13	13002	-1	andres_int	1	13002
13	13004	-1	andres_int	1	13004
13	13005	-1	andres_int	1	13005
13	13007	-1	andres_int	1	13007
13	13008	-1	andres_int	1	13008
13	13009	-1	andres_int	1	13009
13	13010	-1	andres_int	1	13010
